k_ratio,initialization_method,use_samples,use_mixup,total_rounds,convergence_rate,doesnt_converge_rate,collapse_rate,average_iterations,average_jaccard_score,bad_initialization_count
0.1,run forward,True,True,100,0.04,0.06,0.9,5.5,0.635911921220101,0
0.1,run forward,True,False,100,0.01,0.07,0.92,5.0,0.6711409395973155,0
0.1,run forward,False,True,100,0.02,0.08,0.9,5.5,0.6124031007751938,0
0.1,run forward,False,False,100,0.0,0.04,0.96,0.0,0.0,0
0.1,two points,True,True,100,0.1,0.51,0.39,6.1,0.5845150596302308,0
0.1,two points,True,False,100,0.03,0.34,0.63,5.333333333333333,0.5520956032050722,0
0.1,two points,False,True,100,0.12,0.41,0.47,6.416666666666667,0.6273877793304264,0
0.1,two points,False,False,100,0.08,0.21,0.71,5.75,0.606002444699554,0
0.1,random,True,True,100,0.02,0.32,0.66,8.0,0.6665757410438262,0
0.1,random,True,False,100,0.01,0.15,0.84,4.0,0.3783783783783784,0
0.1,random,False,True,100,0.07,0.26,0.67,6.571428571428571,0.5661048763624171,0
0.1,random,False,False,100,0.01,0.07,0.92,3.0,0.6134969325153374,0
0.2,run forward,True,True,100,0.05,0.13,0.82,3.8,0.6342241550361054,0
0.2,run forward,True,False,100,0.0,0.15,0.85,0.0,0.0,0
0.2,run forward,False,True,100,0.02,0.15,0.83,8.5,0.6718559218559219,0
0.2,run forward,False,False,100,0.0,0.14,0.86,0.0,0.0,0
0.2,two points,True,True,100,0.21,0.65,0.14,6.476190476190476,0.6439096976744514,0
0.2,two points,True,False,100,0.09,0.63,0.28,5.333333333333333,0.6347554532156933,0
0.2,two points,False,True,100,0.1,0.71,0.19,4.8,0.6171348834753412,0
0.2,two points,False,False,100,0.08,0.44,0.48,4.625,0.6547201633908581,0
0.2,random,True,True,100,0.09,0.63,0.28,6.777777777777778,0.6082082560268599,0
0.2,random,True,False,100,0.01,0.5,0.49,7.0,0.7122302158273381,0
0.2,random,False,True,100,0.09,0.47,0.44,5.444444444444445,0.5257190547283427,0
0.2,random,False,False,100,0.02,0.36,0.62,9.0,0.5617484662576687,0
0.3,run forward,True,True,100,0.06,0.13,0.81,5.5,0.6876941366972041,0
0.3,run forward,True,False,100,0.03,0.15,0.82,5.0,0.7132980365738986,0
0.3,run forward,False,True,100,0.04,0.16,0.8,8.0,0.700228411435308,0
0.3,run forward,False,False,100,0.05,0.12,0.83,6.2,0.6758766014605836,0
0.3,two points,True,True,100,0.21,0.74,0.05,6.333333333333333,0.7140122540129468,0
0.3,two points,True,False,100,0.18,0.72,0.1,6.5,0.6931239452963552,0
0.3,two points,False,True,100,0.25,0.68,0.07,6.2,0.6884131613736478,0
0.3,two points,False,False,100,0.13,0.67,0.2,7.384615384615385,0.6854313461070849,0
0.3,random,True,True,100,0.15,0.79,0.06,7.866666666666666,0.6129374970543735,0
0.3,random,True,False,100,0.09,0.71,0.2,7.777777777777778,0.6630237791157332,0
0.3,random,False,True,100,0.14,0.71,0.15,6.571428571428571,0.591972742045232,0
0.3,random,False,False,100,0.05,0.56,0.39,5.4,0.7097985347985348,0
0.4,run forward,True,True,100,0.03,0.18,0.79,5.666666666666667,0.7237274220032841,0
0.4,run forward,True,False,100,0.07,0.14,0.79,6.428571428571429,0.7187336473050758,0
0.4,run forward,False,True,100,0.07,0.14,0.79,6.571428571428571,0.7165393362973145,0
0.4,run forward,False,False,100,0.06,0.14,0.8,7.333333333333333,0.6996288558693197,0
0.4,two points,True,True,100,0.28,0.7,0.02,6.464285714285714,0.7120601130988876,0
0.4,two points,True,False,100,0.25,0.7,0.05,6.0,0.702115035512199,0
0.4,two points,False,True,100,0.39,0.53,0.08,6.743589743589744,0.7037165308900201,0
0.4,two points,False,False,100,0.29,0.6,0.11,6.172413793103448,0.7002365015496812,0
0.4,random,True,True,100,0.15,0.83,0.02,7.466666666666667,0.6735652934437883,0
0.4,random,True,False,100,0.09,0.88,0.03,8.0,0.714676002561665,0
0.4,random,False,True,100,0.14,0.8,0.06,6.928571428571429,0.6463751112183778,0
0.4,random,False,False,100,0.12,0.71,0.17,7.083333333333333,0.6690901173775985,0
0.5,run forward,True,True,100,0.05,0.17,0.78,6.6,0.7151583091238264,0
0.5,run forward,True,False,100,0.05,0.16,0.79,6.6,0.720835964801482,0
0.5,run forward,False,True,100,0.06,0.14,0.8,6.833333333333333,0.7136720438701026,0
0.5,run forward,False,False,100,0.05,0.14,0.81,6.4,0.7047492737147909,0
0.5,two points,True,True,100,0.39,0.59,0.02,6.487179487179487,0.7075369113721147,0
0.5,two points,True,False,100,0.37,0.61,0.02,6.8108108108108105,0.7023299962344387,0
0.5,two points,False,True,100,0.38,0.53,0.09,6.578947368421052,0.7071352318435062,0
0.5,two points,False,False,100,0.29,0.61,0.1,6.344827586206897,0.7029895313149631,0
0.5,random,True,True,100,0.12,0.87,0.01,7.5,0.6849917672323,0
0.5,random,True,False,100,0.15,0.83,0.02,7.6,0.6853685139892036,0
0.5,random,False,True,100,0.2,0.75,0.05,7.75,0.710292443064182,0
0.5,random,False,False,100,0.22,0.72,0.06,7.318181818181818,0.6890943749119499,0
